protein,gene,module,kME_own_module
Q8TDQ7,GNPDA2,7,0.3673158345248655
Q8TDX7,NEK7,4,0.5053805564893966
Q8TEA8,DTD1,0,NA
Q8TEB1,DCAF11,4,0.3238557028684671
Q8TEQ6,GEMIN5,0,NA
Q8WTS6,SETD7,6,0.4569974142797534
Q8WU76,SCFD2,0,NA
Q8WUH6,TMEM263,0,NA
Q8WUK0,PTPMT1,3,0.37427034641799917
Q8WUM4,PDCD6IP,1,0.6393724474831756
Q8WUY1,THEM6,2,0.3388649710733167
Q8WVI0,SMIM4,2,0.3213880709075622
Q8WVJ2,NUDCD2,5,0.34048845582646703
Q8WVM8,SCFD1,5,0.3102375582718122
Q8WW01,TSEN15,0,NA
Q8WW12,PCNP,6,0.4043248173494385
Q8WW22,DNAJA4,0,NA
Q8WW59,SPRYD4,3,0.6832276141090149
Q8WWC4,MAIP1,0,NA
Q8WWI1,LMO7,2,0.681047470471227
Q8WWM9,CYGB,1,0.3505430628829066
Q8WWV3,RTN4IP1,3,0.6883364801460555
Q8WWY3,PRPF31,0,NA
Q8WWZ7,ABCA5,7,0.31666230243574245
Q8WX93,PALLD,2,0.566552182084628
Q8WXH0,SYNE2,2,0.4411757688638261
Q8WXH4,ASB11,2,0.4281576215105133
Q8WY91,THAP4,0,NA
Q8WYN0,ATG4A,0,NA
Q8WYQ3,CHCHD10,3,0.47065910314874565
Q8WZ42,TTN,2,0.8912340954289663
Q8WZ82,OVCA2,0,NA
Q8WZA0,LZIC,7,0.4788484499019115
Q8WZA9,IRGQ,5,0.28702343042020734
Q92499,DDX1,8,0.7107299633724679
Q92506,HSD17B8,3,0.49925758274553134
Q92522,H1FX,2,0.43850762442976365
Q92523,CPT1B,4,0.7043192710004866
Q92526,CCT6B,0,NA
Q92530,PSMF1,5,0.7503044573921088
Q92538,GBF1,0,NA
Q92552,MRPS27,10,0.33447846183069885
Q92575,UBXN4,0,NA
Q92597,NDRG1,1,0.5399516528732087
Q92598,HSPH1,0,NA
Q92614,MYO18A,2,0.8047529329811902
Q92616,GCN1,0,NA
Q92621,NUP205,0,NA
Q92623,TTC9,0,NA
Q92629,SGCD,6,0.318219885408801
Q92643,PIGK,0,NA
Q92665,MRPS31,3,0.35398604935530525
Q92667,AKAP1,3,0.47618690336775016
Q92688,ANP32B,1,0.40101426763043785
Q92696,RABGGTA,0,NA
Q92734,TFG,7,0.4844767975073518
Q92736,RYR2,4,0.32971413556843915
Q92747,ARPC1A,0,NA
Q92783,STAM,1,0.30798281757090695
Q92804,TAF15,0,NA
Q92839,HAS1,0,NA
Q92841,DDX17,1,0.34724838715643436
Q92879,CELF1,2,0.34546029974889775
Q92882,OSTF1,1,0.4912184276371865
Q92890,UFD1,0,NA
Q92896,GLG1,0,NA
Q92900,UPF1,0,NA
Q92901,RPL3L,2,0.6925290321821534
Q92905,COPS5,0,NA
Q92930,RAB8B,1,0.4924366943991298
Q92945,KHSRP,1,0.38529957887549626
Q92947,GCDH,0,NA
Q92973,TNPO1,0,NA
Q92995,USP13,6,0.5326151211504345
Q93008,USP9X,6,0.31769878185958617
Q93009,USP7,0,NA
Q93034,CUL5,4,0.7123608556401931
Q93052,LPP,1,0.7396527317067296
Q93096,PTP4A1,0,NA
Q93100,PHKB,3,0.5909464277643312
Q969G5,CAVIN3,1,0.660867455906717
Q969J3,BORCS5,0,NA
Q969M1,TOMM40L,0,NA
Q969M7,UBE2F,0,NA
Q969Q5,RAB24,3,0.47449711643027515
Q969T9,WBP2,5,0.5207057830773931
Q969U7,PSMG2,0,NA
Q969V3,NCLN,0,NA
Q969X1,TMBIM1,5,0.47139373739446083
Q969X5,ERGIC1,0,NA
Q969Z0,TBRG4,3,0.3392190029722511
Q969Z3,MTARC2,0,NA
Q96A26,FAM162A,6,0.5833025652993543
Q96A32,MYLPF,2,0.8370402567274583
Q96A33,CCDC47,8,0.36062255347176153
Q96A35,MRPL24,3,0.3325320029642941
Q96A49,SYAP1,0,NA
Q96A57,TMEM230,0,NA
Q96A65,EXOC4,0,NA
Q96AB3,ISOC2,9,0.45998960827905055
Q96AC1,FERMT2,1,0.49686710480065693
Q96AD5,PNPLA2,6,0.4337603940645912
Q96AE4,FUBP1,8,0.31454691722183875
Q96AG3,SLC25A46,6,0.3577192676157569
Q96AG4,LRRC59,0,NA
Q96AM1,MRGPRF,1,0.5273749505487373
Q96AN5,TMEM143,10,0.6998608586586547
Q96AP7,ESAM,0,NA
Q96AQ6,PBXIP1,4,0.42108478110625486
Q96AT9,RPE,0,NA
Q96AX1,VPS33A,0,NA
Q96AX9,MIB2,2,0.5630271444694136
Q96B54,ZNF428,6,0.6767121898311909
Q96B96,TMEM159,0,NA
Q96BM9,ARL8A,4,0.3750122142897156
Q96BN8,OTULIN,0,NA
Q96BR5,COA7,3,0.47759557729245355
Q96BW5,PTER,0,NA
Q96C01,FAM136A,3,0.5413845827540015
Q96C11,FGGY,4,0.5116862931585
Q96C23,GALM,0,NA
Q96C86,DCPS,0,NA
Q96C90,PPP1R14B,0,NA
Q96CB9,NSUN4,3,0.30267512050031226
Q96CD2,PPCDC,0,NA
Q96CM8,ACSF2,3,0.4729374199529655
Q96CN7,ISOC1,7,0.3853427936348979
Q96CP2,FLYWCH2,3,0.3539909917731985
Q96CT7,CCDC124,8,0.5387501571615434
Q96CV9,OPTN,3,0.3478650857381767
Q96CW1,AP2M1,0,NA
Q96CX2,KCTD12,1,0.6761301808794126
Q96D46,NMD3,0,NA
Q96DA6,DNAJC19,0,NA
Q96DB5,RMDN1,0,NA
Q96DC8,ECHDC3,0,NA
Q96DD7,SHISA4,7,0.5697703807804035
Q96DE0,NUDT16,9,0.5181218595859765
Q96DG6,CMBL,6,0.4746851799625882
Q96DH6,MSI2,0,NA
Q96DV4,MRPL38,0,NA
Q96E11,MRRF,3,0.4057947853188208
Q96E52,OMA1,0,NA
Q96EE3,SEH1L,0,NA
Q96EH3,MALSU1,3,0.4376086376536523
Q96EK5,KIFBP,0,NA
Q96EK7,FAM120B,4,0.39433615872750133
Q96EL2,MRPS24,3,0.39225130399419167
Q96EL3,MRPL53,0,NA
Q96EM0,L3HYPDH,7,0.34395066023079646
Q96EP5,DAZAP1,2,0.32079958158464866
Q96ER9,CCDC51,3,0.4727571742715857
Q96EX1,SMIM12,6,0.5142620331675086
Q96EY1,DNAJA3,2,0.6715016741465698
Q96EY7,PTCD3,3,0.40680156754438174
Q96EY8,MMAB,0,NA
Q96F10,SAT2,0,NA
Q96F85,CNRIP1,1,0.5323484536560981
Q96FJ2,DYNLL2,2,0.3229593258516897
Q96FQ6,S100A16,1,0.340116918849328
Q96FV2,SCRN2,0,NA
Q96FW1,OTUB1,7,0.5636983689228438
Q96FZ7,CHMP6,2,0.4040805835968848
Q96G03,PGM2,5,0.5489453392821914
Q96GC5,MRPL48,3,0.40684829710705256
Q96GD0,PDXP,0,NA
Q96GE9,DMAC1,0,NA
Q96GG9,DCUN1D1,0,NA
Q96GK7,FAHD2A,3,0.37400376306796496
Q96GS4,BORCS6,2,0.3170618238963359
Q96GX9,APIP,6,0.38120821205302585
Q96GZ6,SLC41A3,0,NA
Q96H20,SNF8,0,NA
Q96HC4,PDLIM5,2,0.9144482009038208
Q96HD1,CRELD1,0,NA
Q96HE7,ERO1A,5,0.3081415489232267
Q96HJ9,FMC1,0,NA
Q96HN2,AHCYL2,4,0.4702662389119692
Q96HY6,DDRGK1,2,0.4563571384330558
Q96HY7,DHTKD1,4,0.3341981994454274
Q96I36,COX14,0,NA
Q96I59,NARS2,3,0.4676183693451787
Q96I99,SUCLG2,3,0.5748706635750552
Q96IJ6,GMPPA,0,NA
Q96IU4,ABHD14B,1,0.5830935497669743
Q96IV0,NGLY1,0,NA
Q96IX5,ATP5MD,3,0.5136537821244669
Q96JB5,CDK5RAP3,0,NA
Q96JH7,VCPIP1,0,NA
Q96JJ7,TMX3,7,0.5336521407410019
Q96JY6,PDLIM2,0,NA
Q96K17,BTF3L4,8,0.5651498166067265
Q96K19,RNF170,0,NA
Q96K76,USP47,4,0.4293754690546982
Q96KP4,CNDP2,1,0.3816314164780805
Q96L96,ALPK3,4,0.5210015207410645
Q96LW7,CARD19,0,NA
Q96MF2,STAC3,4,0.6590212716819585
Q96MF6,COQ10A,3,0.721366966732273
Q96MG2,JSRP1,6,0.593963353442646
Q96MM6,HSPA12B,0,NA
Q96MW1,CCDC43,0,NA
Q96NA2,RILP,6,0.5909472759884892
Q96ND0,FAM210A,3,0.4534408867446984
Q96P70,IPO9,5,0.4761799104474401
Q96PC5,MIA2,4,0.4644668559705409
Q96PE7,MCEE,0,NA
Q96PM5,RCHY1,3,0.31234138350182844
Q96PU8,QKI,0,NA
Q96Q06,PLIN4,1,0.5610498395886967
Q96Q83,ALKBH3,0,NA
Q96QK1,VPS35,1,0.6056638595031102
Q96QR8,PURB,0,NA
Q96RF0,SNX18,6,0.4735162350558324
Q96RL7,VPS13A,2,0.4496659616357829
Q96RP9,GFM1,3,0.505261651605239
Q96RQ3,MCCC1,3,0.47311247768694836
Q96RS6,NUDCD1,4,0.37076703478364365
Q96S19,METTL26,0,NA
Q96S66,CLCC1,6,0.5301574184878737
Q96S96,PEBP4,5,0.3895403854192923
Q96S99,PLEKHF1,2,0.32184058705527463
Q96SL4,GPX7,6,0.40171008302630623
Q96SU4,OSBPL9,4,0.31884444218390956
Q96SW2,CRBN,0,NA
Q96T51,RUFY1,1,0.3048540400479438
Q96T66,NMNAT3,0,NA
Q96TA1,NIBAN2,0,NA
Q99417,MYCBP,4,0.3166633265883137
Q99426,TBCB,0,NA
Q99436,PSMB7,0,NA
Q99442,SEC62,0,NA
Q99447,PCYT2,4,0.3330021929214538
Q99460,PSMD1,0,NA
Q99471,PFDN5,9,0.3810779924027497
Q99497,PARK7,5,0.33457486676020953
Q99536,VAT1,1,0.8989987489158366
Q99541,PLIN2,3,0.5680161183239745
Q99584,S100A13,1,0.5129110490826376
Q99598,TSNAX,7,0.43977094614028
Q99613,EIF3C,0,NA
Q99614,TTC1,0,NA
Q99615,DNAJC7,4,0.3975840764856385
Q99622,C12orf57,0,NA
Q99623,PHB2,10,0.7601591497671151
Q99627,COPS8,5,0.34082542931727106
Q99643,SDHC,3,0.48982945468043104
Q99653,CHP1,9,0.5543388122384584
Q99685,MGLL,1,0.6025478143118952
Q99714,HSD17B10,3,0.44939778260090585
Q99729,HNRNPAB,0,NA
Q99733,NAP1L4,0,NA
Q99747,NAPG,0,NA
Q99757,TXN2,9,0.7586623461157064
Q99766,DMAC2L,3,0.3997282537889353
Q99797,MIPEP,3,0.35618058757710536
Q99798,ACO2,3,0.6317609348688102
Q99805,TM9SF2,0,NA
Q99807,COQ7,0,NA
Q99808,SLC29A1,5,0.3352770438382496
Q99816,TSG101,0,NA
Q99829,CPNE1,1,0.45859914717485084
Q99832,CCT7,0,NA
Q99873,PRMT1,4,0.6070375436864205
Q99972,MYOC,1,0.6193725206895472
Q99985,SEMA3C,0,NA
Q9BPX5,ARPC5L,0,NA
Q9BQ61,TRIR,0,NA
Q9BQ69,MACROD1,0,NA
Q9BQ90,KLHDC3,0,NA
Q9BQA1,WDR77,6,0.37221409821796725
Q9BQB6,VKORC1,0,NA
Q9BQC6,MRPL57,0,NA
Q9BQS8,FYCO1,4,0.5475904094233148
Q9BR39,JPH2,8,0.720348665977526
Q9BRA2,TXNDC17,0,NA
Q9BRC7,PLCD4,4,0.5514471289841215
Q9BRF8,CPPED1,1,0.4650242269672293
Q9BRG1,VPS25,0,NA
Q9BRP8,PYM1,2,0.5145651930307368
Q9BRT2,UQCC2,9,0.4752869845518526
Q9BRT3,MIEN1,1,0.3400239772855198
Q9BRX2,PELO,2,0.4121002603766666
Q9BRX8,PRXL2A,5,0.5113470977065059
Q9BS26,ERP44,7,0.46504462763161414
Q9BS40,LXN,5,0.78069167307291365
Q9BS92,NIPSNAP3B,3,0.5267183938680278
Q9BSD7,NTPCR,0,NA
Q9BSE5,AGMAT,3,0.35340912197956226
Q9BSH4,TACO1,3,0.6557381306414736
Q9BSH5,HDHD3,0,NA
Q9BSJ8,ESYT1,1,0.6587295519587095
Q9BSL1,UBAC1,0,NA
Q9BT73,PSMG3,0,NA
Q9BT78,COPS4,0,NA
Q9BTE1,DCTN5,0,NA
Q9BTE6,AARSD1,0,NA
Q9BTT0,ANP32E,0,NA
Q9BTV4,TMEM43,1,0.5089784461597874
Q9BTW9,TBCD,0,NA
Q9BTY7,HGH1,0,NA
Q9BTZ2,DHRS4,0,NA
Q9BU02,THTPA,7,0.37784013983946263
Q9BU61,NDUFAF3,3,0.4493939608937377
Q9BU89,DOHH,0,NA
Q9BUB5,MKNK1,0,NA
Q9BUB7,TMEM70,3,0.44343027906336735
Q9BUE6,ISCA1,3,0.4356190646190899
Q9BUF5,TUBB6,1,0.6433964954509311
Q9BUH6,PAXX,0,NA
Q9BUJ2,HNRNPUL1,7,0.5059560285272154
Q9BUK0,CHCHD7,3,0.40619069676874925
Q9BUL8,PDCD10,9,0.5159305134393114
Q9BUN5,CCDC28B,4,0.536852982693725
Q9BUR5,APOO,10,0.5304055552699575
Q9BUT1,BDH2,1,0.30226344167843044
Q9BV20,MRI1,1,0.3019914049620701
Q9BV57,ADI1,0,NA
Q9BV68,RNF126,0,NA
Q9BV79,MECR,3,0.5441039421394889
Q9BV81,EMC6,0,NA
Q9BV86,NTMT1,2,0.36281989474399096
Q9BVA1,TUBB2B,0,NA
Q9BVC4,MLST8,0,NA
Q9BVC6,TMEM109,0,NA
Q9BVG4,PBDC1,9,0.33181441825842806
Q9BVJ7,DUSP23,0,NA
Q9BVK6,TMED9,1,0.37337302571846026
Q9BVL4,SELENOO,0,NA
Q9BVT8,TMUB1,2,0.3888089876634048
Q9BVV7,TIMM21,3,0.5814733310991926
Q9BW30,TPPP3,1,0.5173317381972573
Q9BW91,NUDT9,6,0.31623572551997303
Q9BWD1,ACAT2,5,0.5702808479486424
Q9BWH2,FUNDC2,4,0.5637845151371123
Q9BWM7,SFXN3,1,0.654819872470818
Q9BWS9,CHID1,5,0.3040383572844899
Q9BX66,SORBS1,2,0.505537206046739
Q9BX68,HINT2,3,0.36306014510037404
Q9BXB4,OSBPL11,2,0.354151741861459
Q9BXI3,NT5C1A,6,0.471433118388861
Q9BXJ8,TMEM120A,2,0.4324681867998181
Q9BXJ9,NAA15,0,NA
Q9BXK5,BCL2L13,0,NA
Q9BXN1,ASPN,1,0.7359534850524648
Q9BXP5,SRRT,0,NA
Q9BXS1,IDI2,9,0.5046053048605317
Q9BXS5,AP1M1,1,0.47004475329724593
Q9BXT2,CACNG6,9,0.3968046168699583
Q9BXV9,GON7,0,NA
Q9BXW6,OSBPL1A,0,NA
Q9BXW7,HDHD5,3,0.5481780768977923
Q9BY43,CHMP4A,4,0.36617115729128097
Q9BY44,EIF2A,8,0.7886524196255503
Q9BYC8,MRPL32,3,0.34147768048881266
Q9BYD1,MRPL13,0,NA
Q9BYD2,MRPL9,3,0.3239287727170312
Q9BYD3,MRPL4,0,NA
Q9BYD6,MRPL1,3,0.48632901588318106
Q9BYT8,NLN,0,NA
Q9BYV2,TRIM54,0,NA
Q9BYV6,TRIM55,6,0.5544881170317607
Q9BYV7,BCO2,3,0.6473291875982299
Q9BYZ2,LDHAL6B,9,0.32438418333720703
Q9BZE1,MRPL37,2,0.33145654870136787
Q9BZE9,ASPSCR1,0,NA
Q9BZF3,OSBPL6,6,0.3636126977195718
Q9BZF9,UACA,0,NA
Q9BZL1,UBL5,3,0.3294698337172212
Q9BZQ8,NIBAN1,0,NA
Q9BZV1,UBXN6,0,NA
Q9BZW5,TM6SF1,2,0.3192157118433566
Q9BZZ5,API5,0,NA
Q9C0C2,TNKS1BP1,1,0.5739213163429236
Q9C0C9,UBE2O,5,0.35329630041749915
Q9C0D3,ZYG11B,0,NA
Q9C0E2,XPO4,0,NA
Q9C0E8,LNPK,0,NA
Q9GZM7,TINAGL1,2,0.6328112368842486
Q9GZN8,C20orf27,0,NA
Q9GZP4,PITHD1,5,0.6040376989291225
Q9GZS3,WDR61,0,NA
Q9GZT3,SLIRP,3,0.5326752582080663
Q9GZT8,NIF3L1,0,NA
Q9GZT9,EGLN1,4,0.3124815632927427
Q9GZV1,ANKRD2,0,NA
Q9GZY8,MFF,0,NA
Q9GZZ1,NAA50,0,NA
Q9GZZ9,UBA5,5,0.310269394075383
Q9H000,MKRN2,2,0.32778617488827455
Q9H008,LHPP,0,NA
Q9H019,MTFR1L,0,NA
Q9H061,TMEM126A,0,NA
Q9H074,PAIP1,0,NA
Q9H078,CLPB,3,0.5473172284314111
Q9H0B6,KLC2,0,NA
Q9H0E2,TOLLIP,7,0.4408517352943601
Q9H0N5,PCBD2,0,NA
Q9H0P0,NT5C3A,9,0.5054085813156052
Q9H0Q0,FAM49A,1,0.29905033059554414
Q9H0R4,HDHD2,0,NA
Q9H0R6,QRSL1,0,NA
Q9H0U3,MAGT1,0,NA
Q9H0U4,RAB1B,0,NA
Q9H0U6,MRPL18,0,NA
Q9H0V9,LMAN2L,7,0.407027283999346
Q9H0W9,C11orf54,4,0.35367886890655376
Q9H173,SIL1,0,NA
Q9H1C7,CYSTM1,4,0.2990827880991418
Q9H1E3,NUCKS1,1,0.37971554682472497
Q9H1E5,TMX4,0,NA
Q9H1K1,ISCU,0,NA
Q9H1R3,MYLK2,4,0.5313359274032352
Q9H1Z4,WDR13,2,0.4535653482790861
Q9H223,EHD4,1,0.5378612859532156
Q9H246,C1orf21,4,0.30478677341654475
Q9H299,SH3BGRL3,1,0.6554289023161445
Q9H2G2,SLK,6,0.39764618071231034
Q9H2H8,PPIL3,5,0.35144541956457753
Q9H2J4,PDCL3,4,0.3895077602971991
Q9H2K0,MTIF3,0,NA
Q9H2M9,RAB3GAP2,1,0.47339904708642094
Q9H2U2,PPA2,3,0.4629429827529071
Q9H2W6,MRPL46,3,0.42987034294199056
Q9H330,TMEM245,0,NA
Q9H3H3,C11orf68,4,0.3317041967214243
Q9H3K2,GHITM,0,NA
Q9H3K6,BOLA2,1,0.5458694847882394
Q9H3N1,TMX1,0,NA
Q9H3P7,ACBD3,0,NA
Q9H3S7,PTPN23,0,NA
Q9H444,CHMP4B,0,NA
Q9H446,RWDD1,7,0.4077917324319918
Q9H477,RBKS,4,0.500294281187803
Q9H479,FN3K,5,0.32528128931498346
Q9H488,POFUT1,0,NA
Q9H4A3,WNK1,0,NA
Q9H4A4,RNPEP,4,0.341941465976999
Q9H4G4,GLIPR2,1,0.8256861451708886
Q9H4M9,EHD1,1,0.42570138797603635
Q9H511,KLHL31,4,0.4304093392280074
Q9H5X1,CIAO2A,0,NA
Q9H6F2,TMEM38A,2,0.48089959128972787
Q9H6K4,OPA3,3,0.3408756723655453
Q9H6L5,RETREG1,6,0.5471531564492242
Q9H6Q4,CIAO3,0,NA
Q9H6U8,ALG9,2,0.3061676609254801
Q9H6Z4,RANBP3,0,NA
Q9H773,DCTPP1,6,0.38473609115646906
Q9H7C4,SYNC,2,0.48360977853073206
Q9H7C9,AAMDC,0,NA
Q9H7M6,ZSWIM4,2,0.6195215817589116
Q9H7Z7,PTGES2,3,0.5127234446573224
Q9H832,UBE2Z,0,NA
Q9H845,ACAD9,0,NA
Q9H853,TUBA4B,0,NA
Q9H8H3,METTL7A,5,0.334893742208101
Q9H8T0,AKTIP,9,0.4386400628315637
Q9H8W4,PLEKHF2,0,NA
Q9H8Y8,GORASP2,0,NA
Q9H902,REEP1,0,NA
Q9H910,JPT2,0,NA
Q9H987,SYNPO2L,2,0.894878228865625
Q9H993,ARMT1,4,0.402369185276749
Q9H9A6,LRRC40,0,NA
Q9H9B4,SFXN1,3,0.46379535173094893
Q9H9J2,MRPL44,3,0.41997178288712805
Q9H9P8,L2HGDH,3,0.6609056738358977
Q9H9Q2,COPS7B,5,0.3762346052681145
Q9HA64,FN3KRP,5,0.36325792618138403
Q9HA65,TBC1D17,4,0.4621658641155783
Q9HA77,CARS2,0,NA
Q9HAB8,PPCS,3,0.3606556922339254
Q9HAC7,SUGCT,0,NA
Q9HAN9,NMNAT1,0,NA
Q9HAT2,SIAE,0,NA
Q9HAV7,GRPEL1,3,0.5476622436322889
Q9HAY6,BCO1,0,NA
Q9HB07,C12orf10,0,NA
Q9HB71,CACYBP,0,NA
Q9HBH1,PDF,0,NA
Q9HBH5,RDH14,3,0.3247205989794856
Q9HBI1,PARVB,0,NA
Q9HBL0,TNS1,2,0.5554539550634587
Q9HBL7,PLGRKT,2,0.4346578310575478
Q9HC35,EML4,0,NA
Q9HC38,GLOD4,1,0.4857189773022168
Q9HCC0,MCCC2,3,0.5727742354627425
Q9HCE6,ARHGEF10L,0,NA
Q9HCP6,HHATL,2,0.6538128646284533
Q9HCU5,PREB,0,NA
Q9HD15,SRA1,7,0.301372958983952
Q9HD33,MRPL47,0,NA
Q9HD42,CHMP1A,0,NA
Q9HDC5,JPH1,2,0.4887482288700672
Q9HDC9,APMAP,1,0.474500128286093
Q9NNW7,TXNRD2,4,0.5857818738053764
Q9NP72,RAB18,0,NA
Q9NP74,PALMD,0,NA
Q9NP77,SSU72,4,0.38812032502501354
Q9NP79,VTA1,0,NA
Q9NP81,SARS2,3,0.4854950866659355
Q9NP92,MRPS30,0,NA
Q9NP97,DYNLRB1,0,NA
Q9NP98,MYOZ1,2,0.816131866569312
Q9NPA0,EMC7,0,NA
Q9NPB0,SAYSD1,0,NA
Q9NPC6,MYOZ2,2,0.7238568847326222
Q9NPF4,OSGEP,9,0.3051328260838516
Q9NPH2,ISYNA1,1,0.40505254109017447
Q9NPI7,KRCC1,2,0.40379336483651723
Q9NPJ3,ACOT13,0,NA
Q9NPL8,TIMMDC1,0,NA
Q9NPQ8,RIC8A,9,0.4684534784871907
Q9NPY3,CD93,0,NA
Q9NQ50,MRPL40,0,NA
Q9NQ66,PLCB1,3,0.35877507852632046
Q9NQ84,GPRC5C,2,0.32299615374578433
Q9NQ88,TIGAR,2,0.3202872380219508
Q9NQC3,RTN4,1,0.43125352806297274
Q9NQE9,HINT3,7,0.39834683197890286
Q9NQH7,XPNPEP3,0,NA
Q9NQP4,PFDN4,0,NA
Q9NQR4,NIT2,7,0.3850766970457676
Q9NQW7,XPNPEP1,4,0.4289611834496736
Q9NQX3,GPHN,4,0.4291550083940665
Q9NQZ5,STARD7,6,0.5751533002206395
Q9NR12,PDLIM7,2,0.8910705800645699
Q9NR19,ACSS2,0,NA
Q9NR28,DIABLO,3,0.4081800552460415
Q9NR31,SAR1A,1,0.29952152633048
Q9NR45,NANS,1,0.3716683760677879
Q9NR46,SH3GLB2,0,NA
Q9NR50,EIF2B3,0,NA
Q9NR56,MBNL1,0,NA
Q9NRD1,FBXO6,0,NA
Q9NRG4,SMYD2,0,NA
Q9NRG7,SDR39U1,9,0.355868511409107
Q9NRK6,ABCB10,0,NA
Q9NRN7,AASDHPPT,6,0.4507438773854021
Q9NRN9,METTL5,0,NA
Q9NRP0,OSTC,7,0.43749586682281416
Q9NRP2,CMC2,3,0.37614984386529937
Q9NRR5,UBQLN4,0,NA
Q9NRV9,HEBP1,5,0.6989875009235316
Q9NRW7,VPS45,0,NA
Q9NRX2,MRPL17,0,NA
Q9NRX4,PHPT1,6,0.2816617219578633
Q9NRX5,SERINC1,0,NA
Q9NRY5,FAM114A2,5,0.38696761168963567
Q9NRZ7,AGPAT3,2,0.33488656720095555
Q9NS69,TOMM22,2,0.33772206039724606
Q9NS86,LANCL2,4,0.4000104029365878
Q9NSA3,CTNNBIP1,0,NA
Q9NSC5,HOMER3,6,0.5617887679336305
Q9NSD9,FARSB,8,0.8223422174635302
Q9NSE4,IARS2,3,0.6286889493165932
Q9NSK7,C19orf12,7,0.44509323050720134
Q9NT62,ATG3,1,0.3348343042767227
Q9NTG7,SIRT3,3,0.4129636856155806
Q9NTJ4,MAN2C1,4,0.3284168371731873
Q9NTJ5,SACM1L,5,0.3875728773891015
Q9NTK5,OLA1,5,0.38052306022478244
Q9NTM9,CUTC,4,0.45454904841737487
Q9NTX5,ECHDC1,1,0.4493613802192326
Q9NTX7,RNF146,0,NA
Q9NUB1,ACSS1,3,0.44795220605660957
Q9NUJ1,ABHD10,3,0.367640590664337
Q9NUL3,STAU2,2,0.5131610709709534
Q9NUL7,DDX28,3,0.3057162815890077
Q9NUQ7,UFSP2,0,NA
Q9NUQ8,ABCF3,0,NA
Q9NUQ9,FAM49B,0,NA
Q9NUT2,ABCB8,0,NA
Q9NUU7,DDX19A,0,NA
Q9NV70,EXOC1,0,NA
Q9NVA1,UQCC1,3,0.5799771977767947
Q9NVA2,SEPTIN11,1,0.5409530675024865
Q9NVD7,PARVA,1,0.6909656636280508
Q9NVE7,PANK4,4,0.5382828577531253
Q9NVH1,DNAJC11,0,NA
Q9NVH6,TMLHE,3,0.45450552793907045
Q9NVI7,ATAD3A,2,0.4906768661308619
Q9NVJ2,ARL8B,7,0.5659274613163837
Q9NVS2,MRPS18A,3,0.4066912511967665
Q9NVS9,PNPO,0,NA
Q9NVT9,ARMC1,0,NA
Q9NVV0,TMEM38B,6,0.5277859213504286
Q9NVV5,AIG1,0,NA
Q9NWT6,HIF1AN,0,NA
Q9NWU1,OXSM,3,0.540768448039677
Q9NWU5,MRPL22,10,0.3487562132290919
Q9NWV4,CZIB,0,NA
Q9NWV8,BABAM1,6,0.38872456353781104
Q9NWW6,NMRK1,7,0.30515360552583576
Q9NX14,NDUFB11,10,0.5897338432192752
Q9NX18,SDHAF2,0,NA
Q9NX20,MRPL16,0,NA
Q9NX40,OCIAD1,10,0.5133029413167189
Q9NX46,ADPRHL2,6,0.5067309110381583
Q9NX47,MARCHF5,6,0.33687222624185287
Q9NX55,HYPK,0,NA
Q9NX62,IMPAD1,7,0.4209873879481648
Q9NX63,CHCHD3,10,0.6596406458125079
Q9NXA8,SIRT5,3,0.5192721252285755
Q9NXG2,THUMPD1,0,NA
Q9NXJ5,PGPEP1,0,NA
Q9NXR7,BABAM2,0,NA
Q9NXW2,DNAJB12,0,NA
Q9NY33,DPP3,5,0.5430336232134034
Q9NY65,TUBA8,9,0.6371152339113516
Q9NYJ1,COA4,3,0.5599257185932622
Q9NYK5,MRPL39,3,0.4829437124312329
Q9NYL2,MAP3K20,6,0.638471041328223
Q9NYU2,UGGT1,0,NA
Q9NZ01,TECR,2,0.6016601741140356
Q9NZ08,ERAP1,0,NA
Q9NZ32,ACTR10,0,NA
Q9NZ43,USE1,0,NA
Q9NZ45,CISD1,3,0.3004755154344093
Q9NZA1,CLIC5,9,0.38924271341456956
Q9NZB2,FAM120A,2,0.40971661079968913
Q9NZC3,GDE1,4,0.4699893531725131
Q9NZD2,GLTP,6,0.594474245990509
Q9NZH0,GPRC5B,0,NA
Q9NZJ6,COQ3,3,0.5031882172666186
Q9NZJ7,MTCH1,0,NA
Q9NZL4,HSPBP1,7,0.5111840143294213
Q9NZL9,MAT2B,0,NA
Q9NZM1,MYOF,1,0.6356369830410544
Q9NZN4,EHD2,1,0.7873445477936487
Q9NZQ9,TMOD4,2,0.8822758637638242
Q9NZU5,LMCD1,4,0.49551778527479334
Q9P003,CNIH4,9,0.3721147197426113
Q9P015,MRPL15,3,0.3465771039957707
Q9P032,NDUFAF4,3,0.406260161631526
Q9P0I2,EMC3,2,0.30493628121385635
Q9P0J0,NDUFA13,2,0.420471292022607
Q9P0J1,PDP1,3,0.5580373451787636
Q9P0L0,VAPA,8,0.5344382546470131
Q9P0M2,AKAP7,0,NA
Q9P0M9,MRPL27,0,NA
Q9P0P0,RNF181,4,0.4062175936599311
Q9P0P8,MTRES1,0,NA
Q9P0U1,TOMM7,0,NA
Q9P0V9,SEPTIN10,0,NA
Q9P253,VPS18,1,0.3575031927026149
Q9P287,BCCIP,7,0.41843269469568484
